unit_id,file_id,heading_path,part,start_line,end_line,line_count,scene,scene_requested,scene_document_prior,scene_routing_decision,scene_routing_policy_sha256,scene_routing_policy_revision,scene_routing_top_score,scene_routing_margin,voice_profile_id,voice_profile_revision,voice_profile_confidence,voice_profile_kind,voice_profile_source,voice_profile_binding_scene,voice_profile_sha256,voice_default_disclosure,mode,intensity,structural_plan_status,owner_chunk,chunk_binding_sha256,context_before_unit,context_after_unit,author_chars,protected_spans,status,hash_before,hash_after,diff_path,protected_hashes_ok,style_validation,notes
U-d1001691c561,F00001,(front-matter),1,1,52,52,RESEARCH,RESEARCH,,EXPLICIT,7f4919b7df6aee03bb93b0f9f20cfe5d7a5724e2297e404dcfa0980fe474cebb,5,0,0,scene-default-research,1,DEFAULT,DEFAULT,SCENE_DEFAULT,RESEARCH,18887ba292c25e48d8f9fc598e1a33fa721d1fa8795b3d78f9964af0773b39e0,True,REWRITE,BALANCED,NOT_RUN,U-d1001691c561,a7cb755b943a9239713dd47f2d15987a2d9fdb68fce462f88f7f2631a84a0451,,U-47c2cb7750d2,193,32,PENDING,92183da2acf2a66fb021dbfbba94eb2104ae06aab2f643d5d22b3103b3ba5c8d,,,NOT_RUN,NOT_RUN,
U-47c2cb7750d2,F00001,阶段学习笔记,1,53,54,2,RESEARCH,RESEARCH,,EXPLICIT,7f4919b7df6aee03bb93b0f9f20cfe5d7a5724e2297e404dcfa0980fe474cebb,5,0,0,scene-default-research,1,DEFAULT,DEFAULT,SCENE_DEFAULT,RESEARCH,18887ba292c25e48d8f9fc598e1a33fa721d1fa8795b3d78f9964af0773b39e0,True,REWRITE,BALANCED,NOT_RUN,U-47c2cb7750d2,3abff1e040b5fb872acf6447f56d6b850d2ae8d0d62dca3f24c52e513ede7b3c,U-d1001691c561,U-dee7ab53efd5,0,1,SKIPPED_PROTECTED,62d267f203077e211133876c5e5b5fc5f187c75de9a40629104b86b9d7fa4dc6,,,NOT_RUN,NOT_RUN,
U-dee7ab53efd5,F00001,阶段学习笔记 / 选题侧重与成员分工,1,55,67,13,RESEARCH,RESEARCH,,EXPLICIT,7f4919b7df6aee03bb93b0f9f20cfe5d7a5724e2297e404dcfa0980fe474cebb,5,0,0,scene-default-research,1,DEFAULT,DEFAULT,SCENE_DEFAULT,RESEARCH,18887ba292c25e48d8f9fc598e1a33fa721d1fa8795b3d78f9964af0773b39e0,True,REWRITE,BALANCED,NOT_RUN,U-dee7ab53efd5,ca90bdba07e08d450c9a1075e6fab8c4d81ac05e8451493c1d83b07bc4243990,U-47c2cb7750d2,U-1f988cbd8462,262,1,PENDING,897f883c485a7432a6d1494d5a49187795acc0275faba3fbe374c90e26cb52e6,,,NOT_RUN,NOT_RUN,
U-1f988cbd8462,F00001,阶段学习笔记 / 十三个算法与模型学习单元,1,68,167,100,RESEARCH,RESEARCH,,EXPLICIT,7f4919b7df6aee03bb93b0f9f20cfe5d7a5724e2297e404dcfa0980fe474cebb,5,0,0,scene-default-research,1,DEFAULT,DEFAULT,SCENE_DEFAULT,RESEARCH,18887ba292c25e48d8f9fc598e1a33fa721d1fa8795b3d78f9964af0773b39e0,True,REWRITE,BALANCED,NOT_RUN,U-1f988cbd8462,9963490a7b653d263644bd996a30c7f70772fe70640edffb5934cb1261ce0bfb,U-dee7ab53efd5,U-58ced89d4882,1661,49,PENDING,1c87882aaf56015e3d369f213705b24889211c284dd9724c300b91e68509f4e9,,,NOT_RUN,NOT_RUN,
U-58ced89d4882,F00001,阶段学习笔记 / 本阶段做得较好的地方,1,168,176,9,RESEARCH,RESEARCH,,EXPLICIT,7f4919b7df6aee03bb93b0f9f20cfe5d7a5724e2297e404dcfa0980fe474cebb,5,0,0,scene-default-research,1,DEFAULT,DEFAULT,SCENE_DEFAULT,RESEARCH,18887ba292c25e48d8f9fc598e1a33fa721d1fa8795b3d78f9964af0773b39e0,True,REWRITE,BALANCED,NOT_RUN,U-58ced89d4882,15bb74dcd259f781e4c4af856ad066d62142438c5f34c9fe3bc0372b097d36ab,U-1f988cbd8462,U-67ff01994e42,149,2,PENDING,3036d9f25f65f1d7bdbce6a59a1f1b30ea01289167d31e493ebd1aaeef830093,,,NOT_RUN,NOT_RUN,
U-67ff01994e42,F00001,阶段学习笔记 / 目前不足,1,177,184,8,RESEARCH,RESEARCH,,EXPLICIT,7f4919b7df6aee03bb93b0f9f20cfe5d7a5724e2297e404dcfa0980fe474cebb,5,0,0,scene-default-research,1,DEFAULT,DEFAULT,SCENE_DEFAULT,RESEARCH,18887ba292c25e48d8f9fc598e1a33fa721d1fa8795b3d78f9964af0773b39e0,True,REWRITE,BALANCED,NOT_RUN,U-67ff01994e42,4831495950bf17f4ce35c07c17c937cb845029c68135c0f03db611b749ffa6aa,U-58ced89d4882,U-a6366210ec1d,144,3,PENDING,887e27f955857ba612af6a736e2985209489087e326128acd3c9fd54a65faa3c,,,NOT_RUN,NOT_RUN,
U-a6366210ec1d,F00001,阶段学习笔记 / 下一阶段四周安排,1,185,210,26,RESEARCH,RESEARCH,,EXPLICIT,7f4919b7df6aee03bb93b0f9f20cfe5d7a5724e2297e404dcfa0980fe474cebb,5,0,0,scene-default-research,1,DEFAULT,DEFAULT,SCENE_DEFAULT,RESEARCH,18887ba292c25e48d8f9fc598e1a33fa721d1fa8795b3d78f9964af0773b39e0,True,REWRITE,BALANCED,NOT_RUN,U-a6366210ec1d,60901aaa4df605e037df5c9c071d6f54984bfb29a29fff7f718935c76171fb05,U-67ff01994e42,U-ed4c5125be6e,426,25,PENDING,41b46cad416c289a068841eaa6f5c1ca68874a27d6036c9dfa55cb44ad1a7806,,,NOT_RUN,NOT_RUN,
U-ed4c5125be6e,F00001,一等奖论文A053学习分析,1,211,212,2,RESEARCH,RESEARCH,,EXPLICIT,7f4919b7df6aee03bb93b0f9f20cfe5d7a5724e2297e404dcfa0980fe474cebb,5,0,0,scene-default-research,1,DEFAULT,DEFAULT,SCENE_DEFAULT,RESEARCH,18887ba292c25e48d8f9fc598e1a33fa721d1fa8795b3d78f9964af0773b39e0,True,REWRITE,BALANCED,NOT_RUN,U-ed4c5125be6e,aa718bf42815c08936663a41b0355d0fd5e2d18f499c8b11faeb7e069e160586,U-a6366210ec1d,U-cf692ea7d2af,0,1,SKIPPED_PROTECTED,8959225163a0529a136ae20d2977526658a1e97a7e8d56a4b2982c6711176bba,,,NOT_RUN,NOT_RUN,
U-cf692ea7d2af,F00001,一等奖论文A053学习分析 / 选文与阅读范围,1,213,220,8,RESEARCH,RESEARCH,,EXPLICIT,7f4919b7df6aee03bb93b0f9f20cfe5d7a5724e2297e404dcfa0980fe474cebb,5,0,0,scene-default-research,1,DEFAULT,DEFAULT,SCENE_DEFAULT,RESEARCH,18887ba292c25e48d8f9fc598e1a33fa721d1fa8795b3d78f9964af0773b39e0,True,REWRITE,BALANCED,NOT_RUN,U-cf692ea7d2af,3cb13abc318691956c5b8c184a00908a7d94902d7c7284e660dab8d304837302,U-ed4c5125be6e,U-67bd7c53383e,141,2,PENDING,e1568b7da4339c69dddad4d8ba5dfcd8eb7d9d3fa60c19d466280c22c21d0ef7,,,NOT_RUN,NOT_RUN,
U-67bd7c53383e,F00001,一等奖论文A053学习分析 / 论文结构及各部分写法,1,221,282,62,RESEARCH,RESEARCH,,EXPLICIT,7f4919b7df6aee03bb93b0f9f20cfe5d7a5724e2297e404dcfa0980fe474cebb,5,0,0,scene-default-research,1,DEFAULT,DEFAULT,SCENE_DEFAULT,RESEARCH,18887ba292c25e48d8f9fc598e1a33fa721d1fa8795b3d78f9964af0773b39e0,True,REWRITE,BALANCED,NOT_RUN,U-67bd7c53383e,5a7b1cd8534d570ef85f5f5bddde6b674cb571afa1361fc14b9670a3319dff31,U-cf692ea7d2af,U-39e075ee6a84,820,38,PENDING,ff4e3a17d5a9d3f75a7b520e5dc6194901d5f385c69f8e9dfc97cf441935e6b6,,,NOT_RUN,NOT_RUN,
