unit_id,file_id,heading_path,part,start_line,end_line,line_count,scene,scene_requested,scene_document_prior,scene_routing_decision,scene_routing_policy_sha256,scene_routing_policy_revision,scene_routing_top_score,scene_routing_margin,voice_profile_id,voice_profile_revision,voice_profile_confidence,voice_profile_kind,voice_profile_source,voice_profile_binding_scene,voice_profile_sha256,voice_default_disclosure,chunk_binding_sha256,mode,intensity,structural_plan_status,structural_semantic_review_status,paired_quality_review_status,rewrite_intent_status,transaction_id,transaction_status,owner_chunk,context_before_unit,context_after_unit,author_chars,protected_spans,status,hash_before,hash_after,diff_path,protected_hashes_ok,style_validation,notes,unresolved_codes_json
U-d1001691c561,F00001,(front-matter),1,1,52,52,RESEARCH,RESEARCH,,EXPLICIT,7f4919b7df6aee03bb93b0f9f20cfe5d7a5724e2297e404dcfa0980fe474cebb,5,0,0,scene-default-research,1,DEFAULT,DEFAULT,SCENE_DEFAULT,RESEARCH,18887ba292c25e48d8f9fc598e1a33fa721d1fa8795b3d78f9964af0773b39e0,True,a7cb755b943a9239713dd47f2d15987a2d9fdb68fce462f88f7f2631a84a0451,REWRITE,BALANCED,NOT_APPLICABLE,NOT_ISSUED,PENDING_EXTERNAL_REVIEW,PASS,,,U-d1001691c561,,U-47c2cb7750d2,193,32,DONE,92183da2acf2a66fb021dbfbba94eb2104ae06aab2f643d5d22b3103b3ba5c8d,cef22b43a3f10fe49055ae2086533b5ef2e7b503c463e95aaaade0aea0463d22,diffs\U-d1001691c561.diff,PASS,PASS,,[]
U-47c2cb7750d2,F00001,阶段学习笔记,1,53,54,2,RESEARCH,RESEARCH,,EXPLICIT,7f4919b7df6aee03bb93b0f9f20cfe5d7a5724e2297e404dcfa0980fe474cebb,5,0,0,scene-default-research,1,DEFAULT,DEFAULT,SCENE_DEFAULT,RESEARCH,18887ba292c25e48d8f9fc598e1a33fa721d1fa8795b3d78f9964af0773b39e0,True,3abff1e040b5fb872acf6447f56d6b850d2ae8d0d62dca3f24c52e513ede7b3c,REWRITE,BALANCED,NOT_RUN,,,,,,U-47c2cb7750d2,U-d1001691c561,U-dee7ab53efd5,0,1,SKIPPED_PROTECTED,62d267f203077e211133876c5e5b5fc5f187c75de9a40629104b86b9d7fa4dc6,,,NOT_RUN,NOT_RUN,,[]
U-dee7ab53efd5,F00001,阶段学习笔记 / 选题侧重与成员分工,1,55,67,13,RESEARCH,RESEARCH,,EXPLICIT,7f4919b7df6aee03bb93b0f9f20cfe5d7a5724e2297e404dcfa0980fe474cebb,5,0,0,scene-default-research,1,DEFAULT,DEFAULT,SCENE_DEFAULT,RESEARCH,18887ba292c25e48d8f9fc598e1a33fa721d1fa8795b3d78f9964af0773b39e0,True,ca90bdba07e08d450c9a1075e6fab8c4d81ac05e8451493c1d83b07bc4243990,REWRITE,BALANCED,NOT_APPLICABLE,NOT_ISSUED,PENDING_EXTERNAL_REVIEW,PASS,,,U-dee7ab53efd5,U-47c2cb7750d2,U-1f988cbd8462,262,1,DONE,897f883c485a7432a6d1494d5a49187795acc0275faba3fbe374c90e26cb52e6,27bd299007e654d573fd8f548dfd023c66b073a29d414a26eb822ffcabaf28e8,diffs\U-dee7ab53efd5.diff,PASS,PASS,,[]
U-1f988cbd8462,F00001,阶段学习笔记 / 十三个算法与模型学习单元,1,68,167,100,RESEARCH,RESEARCH,,EXPLICIT,7f4919b7df6aee03bb93b0f9f20cfe5d7a5724e2297e404dcfa0980fe474cebb,5,0,0,scene-default-research,1,DEFAULT,DEFAULT,SCENE_DEFAULT,RESEARCH,18887ba292c25e48d8f9fc598e1a33fa721d1fa8795b3d78f9964af0773b39e0,True,9963490a7b653d263644bd996a30c7f70772fe70640edffb5934cb1261ce0bfb,REWRITE,BALANCED,NOT_APPLICABLE,NOT_ISSUED,PENDING_EXTERNAL_REVIEW,PASS,,,U-1f988cbd8462,U-dee7ab53efd5,U-58ced89d4882,1661,49,DONE,1c87882aaf56015e3d369f213705b24889211c284dd9724c300b91e68509f4e9,9e378be8f61eaddd9ce54131fc432f0d9f32b227ae6f015e8066f18a3b271fb1,diffs\U-1f988cbd8462.diff,PASS,PASS,,[]
U-58ced89d4882,F00001,阶段学习笔记 / 本阶段做得较好的地方,1,168,176,9,RESEARCH,RESEARCH,,EXPLICIT,7f4919b7df6aee03bb93b0f9f20cfe5d7a5724e2297e404dcfa0980fe474cebb,5,0,0,scene-default-research,1,DEFAULT,DEFAULT,SCENE_DEFAULT,RESEARCH,18887ba292c25e48d8f9fc598e1a33fa721d1fa8795b3d78f9964af0773b39e0,True,15bb74dcd259f781e4c4af856ad066d62142438c5f34c9fe3bc0372b097d36ab,REWRITE,BALANCED,NOT_APPLICABLE,NOT_ISSUED,PENDING_EXTERNAL_REVIEW,PASS,,,U-58ced89d4882,U-1f988cbd8462,U-67ff01994e42,149,2,DONE,3036d9f25f65f1d7bdbce6a59a1f1b30ea01289167d31e493ebd1aaeef830093,11d87a94aff95fba0b0e0fdc459a1470eae2ca440639442f8f55d6c1e11b32ef,diffs\U-58ced89d4882.diff,PASS,PASS,,[]
U-67ff01994e42,F00001,阶段学习笔记 / 目前不足,1,177,184,8,RESEARCH,RESEARCH,,EXPLICIT,7f4919b7df6aee03bb93b0f9f20cfe5d7a5724e2297e404dcfa0980fe474cebb,5,0,0,scene-default-research,1,DEFAULT,DEFAULT,SCENE_DEFAULT,RESEARCH,18887ba292c25e48d8f9fc598e1a33fa721d1fa8795b3d78f9964af0773b39e0,True,4831495950bf17f4ce35c07c17c937cb845029c68135c0f03db611b749ffa6aa,REWRITE,BALANCED,NOT_APPLICABLE,NOT_ISSUED,PENDING_EXTERNAL_REVIEW,PASS,,,U-67ff01994e42,U-58ced89d4882,U-a6366210ec1d,144,3,DONE,887e27f955857ba612af6a736e2985209489087e326128acd3c9fd54a65faa3c,2b47724aa49905a0122cbc7cc5f5dd74fe850f02a124e3a7f9c2d339ff5d6360,diffs\U-67ff01994e42.diff,PASS,PASS,,[]
U-a6366210ec1d,F00001,阶段学习笔记 / 下一阶段四周安排,1,185,210,26,RESEARCH,RESEARCH,,EXPLICIT,7f4919b7df6aee03bb93b0f9f20cfe5d7a5724e2297e404dcfa0980fe474cebb,5,0,0,scene-default-research,1,DEFAULT,DEFAULT,SCENE_DEFAULT,RESEARCH,18887ba292c25e48d8f9fc598e1a33fa721d1fa8795b3d78f9964af0773b39e0,True,60901aaa4df605e037df5c9c071d6f54984bfb29a29fff7f718935c76171fb05,REWRITE,BALANCED,NOT_APPLICABLE,NOT_ISSUED,PENDING_EXTERNAL_REVIEW,PASS,,,U-a6366210ec1d,U-67ff01994e42,U-ed4c5125be6e,426,25,DONE,41b46cad416c289a068841eaa6f5c1ca68874a27d6036c9dfa55cb44ad1a7806,b0d7031afffd349f2b9d1dbb6d4f1a8f03664727b45631b816548620e580fccd,diffs\U-a6366210ec1d.diff,PASS,PASS,,[]
U-ed4c5125be6e,F00001,一等奖论文A053学习分析,1,211,212,2,RESEARCH,RESEARCH,,EXPLICIT,7f4919b7df6aee03bb93b0f9f20cfe5d7a5724e2297e404dcfa0980fe474cebb,5,0,0,scene-default-research,1,DEFAULT,DEFAULT,SCENE_DEFAULT,RESEARCH,18887ba292c25e48d8f9fc598e1a33fa721d1fa8795b3d78f9964af0773b39e0,True,aa718bf42815c08936663a41b0355d0fd5e2d18f499c8b11faeb7e069e160586,REWRITE,BALANCED,NOT_RUN,,,,,,U-ed4c5125be6e,U-a6366210ec1d,U-cf692ea7d2af,0,1,SKIPPED_PROTECTED,8959225163a0529a136ae20d2977526658a1e97a7e8d56a4b2982c6711176bba,,,NOT_RUN,NOT_RUN,,[]
U-cf692ea7d2af,F00001,一等奖论文A053学习分析 / 选文与阅读范围,1,213,220,8,RESEARCH,RESEARCH,,EXPLICIT,7f4919b7df6aee03bb93b0f9f20cfe5d7a5724e2297e404dcfa0980fe474cebb,5,0,0,scene-default-research,1,DEFAULT,DEFAULT,SCENE_DEFAULT,RESEARCH,18887ba292c25e48d8f9fc598e1a33fa721d1fa8795b3d78f9964af0773b39e0,True,3cb13abc318691956c5b8c184a00908a7d94902d7c7284e660dab8d304837302,REWRITE,BALANCED,NOT_APPLICABLE,NOT_ISSUED,PENDING_EXTERNAL_REVIEW,PASS,,,U-cf692ea7d2af,U-ed4c5125be6e,U-67bd7c53383e,141,2,DONE,e1568b7da4339c69dddad4d8ba5dfcd8eb7d9d3fa60c19d466280c22c21d0ef7,ab7f7ea450f722cad205f50a1651eda641f37869d27afafb93d006dbb780bfed,diffs\U-cf692ea7d2af.diff,PASS,PASS,,[]
U-67bd7c53383e,F00001,一等奖论文A053学习分析 / 论文结构及各部分写法,1,221,282,62,RESEARCH,RESEARCH,,EXPLICIT,7f4919b7df6aee03bb93b0f9f20cfe5d7a5724e2297e404dcfa0980fe474cebb,5,0,0,scene-default-research,1,DEFAULT,DEFAULT,SCENE_DEFAULT,RESEARCH,18887ba292c25e48d8f9fc598e1a33fa721d1fa8795b3d78f9964af0773b39e0,True,5a7b1cd8534d570ef85f5f5bddde6b674cb571afa1361fc14b9670a3319dff31,REWRITE,BALANCED,NOT_APPLICABLE,NOT_ISSUED,PENDING_EXTERNAL_REVIEW,PASS,,,U-67bd7c53383e,U-cf692ea7d2af,U-39e075ee6a84,820,38,DONE,ff4e3a17d5a9d3f75a7b520e5dc6194901d5f385c69f8e9dfc97cf441935e6b6,abddc3b6ef63a6e1b2f89d398d460b7d4818d920261a5884ea6f16d69454e499,diffs\U-67bd7c53383e.diff,PASS,PASS,,[]
