level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1671	1920	-1	
2	1	1	0	0	0	300	92	4	2	-1	
3	1	1	1	0	0	300	92	4	2	-1	
4	1	1	1	1	0	300	92	4	2	-1	
5	1	1	1	1	1	300	92	4	2	13.142967	©
2	1	2	0	0	0	301	87	3	3	-1	
3	1	2	1	0	0	301	87	3	3	-1	
4	1	2	1	1	0	301	87	3	3	-1	
5	1	2	1	1	1	301	87	3	3	0.000000	.
2	1	3	0	0	0	447	58	442	17	-1	
3	1	3	1	0	0	447	58	442	17	-1	
4	1	3	1	1	0	447	58	442	17	-1	
5	1	3	1	1	1	443	54	49	31	76.942261	缺失
5	1	3	1	1	2	491	54	20	31	92.537766	值
5	1	3	1	1	3	510	54	19	31	93.252029	处
5	1	3	1	1	4	528	59	10	15	92.601562	理
5	1	3	1	1	5	545	63	3	10	86.793686	:
5	1	3	1	1	6	563	58	29	17	94.863815	均值
5	1	3	1	1	7	601	58	33	17	87.644104	填充
5	1	3	1	1	8	636	54	15	31	93.177917	、
5	1	3	1	1	9	650	58	24	17	91.656883	插
5	1	3	1	1	10	673	54	20	31	72.032455	值
5	1	3	1	1	11	692	58	33	17	82.845833	填充
5	1	3	1	1	12	731	54	47	31	92.945892	、KNN
5	1	3	1	1	13	784	58	26	17	77.971153	填
5	1	3	1	1	14	817	72	4	3	88.019150	充
5	1	3	1	1	15	834	59	9	16	93.205170	、
5	1	3	1	1	16	847	58	17	17	92.967110	删
5	1	3	1	1	17	863	54	26	31	96.345596	除法
2	1	4	0	0	0	263	86	37	18	-1	
3	1	4	1	0	0	263	86	37	18	-1	
4	1	4	1	1	0	263	86	37	18	-1	
5	1	4	1	1	1	263	86	37	18	75.893364	数据
2	1	5	0	0	0	447	86	465	18	-1	
3	1	5	1	0	0	447	86	465	18	-1	
4	1	5	1	1	0	447	86	465	18	-1	
5	1	5	1	1	1	447	86	90	18	93.289375	异常
5	1	5	1	1	2	493	81	18	32	92.686165	值
5	1	5	1	1	3	511	81	18	32	92.940300	处
5	1	5	1	1	4	529	81	12	32	91.846794	理
5	1	5	1	1	5	547	91	1	10	91.846794	:
5	1	5	1	1	6	563	87	18	15	96.894188	3
5	1	5	1	1	7	582	87	37	17	78.213730	准则
5	1	5	1	1	8	619	81	18	32	92.934128	、
5	1	5	1	1	9	637	87	14	17	84.030769	箱
5	1	5	1	1	10	659	87	22	17	93.025719	线
5	1	5	1	1	11	688	100	5	3	93.028946	图
5	1	5	1	1	12	706	87	73	15	81.657616	、Isolation
5	1	5	1	1	13	787	86	125	18	93.123260	Forest
5	1	5	1	1	14	845	81	20	32	62.603539	孤
5	1	5	1	1	15	865	81	20	32	90.003769	立
5	1	5	1	1	16	885	81	30	32	95.998840	森林
2	1	6	0	0	0	306	61	135	67	-1	
3	1	6	1	0	0	306	61	135	67	-1	
4	1	6	1	1	0	306	61	135	67	-1	
