year,problem,paper,pages,median_text_lines_per_page,median_paragraph_candidates_per_page,median_han_per_page,heading_candidates,caption_candidates,equation_line_candidates,caption_pages,equation_pages,fallback_pages,unconfirmed_pages,models_in_chain,section_sequence,detected_section_count,摘要_page,问题重述_page,问题分析_page,模型假设_page,符号说明_page,模型建立_page,模型求解_page,结果分析_page,模型检验_page,灵敏度分析_page,模型评价_page,改进方案_page,参考文献_page,附录_page
2020,A,A070,34,44.0,6.0,234.5,75,23,198,4、5、6、8、10、11、12、13、17、18、19、20、21、22、23、24,3、4、5、6、7、8、9、10、12、13、15、16、18、19、20、21、23、25、26、27、28、29、30、31、32、33、34,26,18,微分方程、有限元、有限差分、多目标、模拟退火、0-1、守恒,摘要 -> 模型检验 -> 问题重述 -> 问题分析 -> 模型假设 -> 符号说明 -> 模型建立 -> 模型求解 -> 结果分析 -> 模型评价 -> 改进方案 -> 参考文献,12,1,2,2,3,3,4,8,10,1,,24,24,25,
2020,A,A147,89,47,0,101,70,18,1272,3、6、7、8、9、10、15、16、17、19、22、25,1、4、5、6、7、8、9、10、11、12、13、14、15、16、17、18、19、20、21、22、23、24、28、29、30、31、32、33、34、35、36、37、38、39、40、41、42、43、44、45、46、47、48、49、50、51、52、53、54、55、56、57、58、59、60、61、62、63、64、65、66、67、68、69、70、71、72、73、74、75、76、77、78、79、80、81、82、83、84、85、86、87、88、89,58,44,微分方程、多目标、守恒、0-1、ODE,摘要 -> 问题重述 -> 问题分析 -> 模型建立 -> 符号说明 -> 模型求解 -> 结果分析 -> 灵敏度分析 -> 模型评价 -> 参考文献 -> 附录,11,1,2,3,,4,3,12,15,,16,25,,26,27
2020,A,A195,42,38.0,3.0,187.0,59,21,428,2、3、4、5、8、9、10、11、12、14、15、19、20,1、4、5、6、7、8、9、10、11、12、13、16、17、18、19、22、23、24、25、26、27、28、29、30、31、32、33、34、35、36、37、38、39、40、41、42,36,25,有限差分、多目标、遗传算法、PDE、偏微分方程、微分方程、有限元、ODE、线性规划、非线性规划、0-1,摘要 -> 模型求解 -> 问题重述 -> 模型假设 -> 符号说明 -> 问题分析 -> 模型建立 -> 模型检验 -> 参考文献 -> 附录,10,1,2,4,3,3,6,1,,9,,,,21,22
2020,A,A212,26,48.5,6.0,277.0,50,14,286,5、6、9、10、11、12、13、14、16、17,4、5、6、7、8、9、10、11、12、14、15、18、19、20、21、22、23、24、25、26,17,13,守恒、微分方程、多目标、模拟退火、线性规划、非线性规划,摘要 -> 模型建立 -> 模型评价 -> 改进方案 -> 问题重述 -> 问题分析 -> 模型求解 -> 模型假设 -> 符号说明 -> 结果分析 -> 参考文献 -> 附录,12,1,2,3,4,4,1,3,14,,,1,1,17,18
2020,B,B078,50,45.0,8.0,307.5,49,8,517,3、8、9、10、11、12、16,4、5、6、7、8、9、10、12、13、14、15、16、17、18、19、20、23、24、25、26、27、28、29、30、31、32、33、34、35、36、37、38、39、40、41、42、43、44、45、46、47、48,34,19,蒙特卡洛、最短路、Floyd、ODE,摘要 -> 灵敏度分析 -> 改进方案 -> 问题重述 -> 问题分析 -> 模型求解 -> 模型假设 -> 符号说明 -> 模型建立 -> 结果分析 -> 模型评价 -> 参考文献,12,1,2,2,3,3,4,3,9,,1,21,1,22,
2020,B,B108,104,45.5,2.0,150.0,78,17,1056,6、10、11、12、13、14、15、16、18、23、24、25、26,4、5、6、7、8、9、10、13、14、15、16、17、18、19、22、23、24、25、26、30、31、32、33、34、35、36、37、38、39、40、41、42、43、44、45、46、47、48、49、50、51、52、53、54、55、56、57、58、59、60、61、62、63、64、65、66、67、68、69、70、71、72、73、74、75、76、77、78、79、80、81、82、83、84、85、86、87、88、89、90、91、92、93、94、95、96、97、98、99、100、101、102、103、104,23,15,最短路,摘要 -> 灵敏度分析 -> 问题重述 -> 符号说明 -> 模型求解 -> 结果分析 -> 参考文献 -> 附录,8,1,2,,,4,,10,13,,1,,,29,29
2020,B,B125,34,32.5,6.0,282.5,44,9,185,3、13、14、22、23、24,2、5、6、7、11、12、13、14、15、16、17、18、19、20、21、22、24、25、29、30、31、32、33、34,28,11,Floyd、最短路,摘要 -> 问题重述 -> 问题分析 -> 符号说明 -> 模型建立 -> 模型求解 -> 模型评价 -> 参考文献 -> 附录,9,1,2,3,,4,4,4,,,,26,,26,27
2020,B,B175,39,46,9,419,98,16,339,7、8、9、10、12、13、14、15、16、19、20、26,5、6、7、9、10、11、12、13、16、17、18、19、22、23、24、25、27、30、31、32、33、34、35、36、37、38、39,11,2,ODE、最短路,摘要 -> 问题重述 -> 问题分析 -> 模型假设 -> 模型建立 -> 符号说明 -> 结果分析 -> 模型求解 -> 改进方案 -> 参考文献 -> 附录,11,1,2,3,4,4,4,12,7,,,,26,28,29
2020,C,C109,77,48,6,213,935,31,445,4、6、9、10、11、12、13、14、15、16、17、18、19、20、21、22、23、24、25、26、27,6、7、8、9、10、11、12、13、14、16、17、19、23、25、27、31、35、36、41、49、55、58、59、60、61、62、63、64、65、66、67、68、69、70、71、72、73、74、75、76、77,50,15,多目标、线性规划、非线性规划、回归、0-1、AHP、层次分析、ODE、XGBoost、Logistic、VAR,摘要 -> 结果分析 -> 问题分析 -> 模型建立 -> 模型假设 -> 符号说明 -> 模型求解 -> 模型评价 -> 改进方案 -> 参考文献,10,1,,2,3,3,2,12,1,,,28,28,30,
2020,C,C142,45,46,8,365,55,23,417,3、4、8、10、12、14、15、17、18、20、21、23、24、25、26、27,6、7、9、10、11、12、13、14、15、18、19、21、22、23、24、25、27、30、31、32、33、34、35、36、37、38、39、40、41、42、43、44、45,36,23,线性规划、遗传算法、非线性规划、主成分、Logistic、回归、ODE、VAR、PCA,摘要 -> 模型建立 -> 问题重述 -> 问题分析 -> 符号说明 -> 模型假设 -> 模型求解 -> 改进方案 -> 灵敏度分析 -> 模型评价 -> 参考文献 -> 附录,12,1,2,2,4,4,1,13,,,25,27,17,28,28
